Crop_suitability,Texture,Slope,Erosion,Gravel,Rocky,Drainage,Depth,LCC,Temperature,Rainfall,pH
Sugarcane_S1,sc,A,A,A,A,A,B,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,sc,B,A,A,A,A,A,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,sc,B,A,A,A,A,B,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,scl,A,A,A,A,A,A,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,scl,A,A,A,A,A,B,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,scl,B,A,A,A,A,A,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,scl,B,A,A,A,A,B,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S2,c,C,B,B,B,B,D,II,"21-30,26-29,35-38",900-1300,"6.0-6.9,8.1-9.0"
Sugarcane_S2,sl,C,B,B,B,B,D,II,"21-30,26-29,35-38",900-1300,"6.0-6.9,8.1-9.0"
Sugarcane_S3,c,D,C,C,C,C,D,III,"5-9,21-25,39-40",750-900,"4.0-5.9,9.1-9.5"
Sugarcane_N,,,,,,C,E,,"0-19,41-60",0-750,"0-3.9,9.6-14.0"
